name,review_count,categories,rating,coordinates,price,phone,address
Q-tea Monster,119,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.5230369,-122.0056814",$,(510) 648-2282,"39181 Cedar Blvd, Newark, CA 94560, USA"
Happy Lemon,111,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.6956213,-121.8500237",,(925) 425-9419,"2701 Stoneridge Dr #101, Pleasanton, CA 94588, USA"
Honey Tea,22,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.6955285,-121.8495894",$,(925) 425-0912,"Pacific Food Hall, 2705 Stoneridge Dr Suite K, Pleasanton, CA 94588, USA"
Cafe Tapioca,253,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.7042436,-121.9352677",$,(925) 479-0968,"7160 Regional St, Dublin, CA 94568, USA"
Teazentea Newark,13,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.5412895,-122.0259859",,(510) 894-2688,"5632 Thornton Ave, Newark, CA 94560, USA"
TEAZENTEA,78,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.1,"37.5325091,-121.9196217",$,(510) 573-4102,"43360 Mission Blvd Ste 120, Fremont, CA 94539, USA"
i-Tea Pleasanton,130,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,"37.6659101,-121.8741919",$,(925) 249-5989,"915 Main St Ste C, Pleasanton, CA 94566, USA"
Brian Black Tea,82,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.5010236,-121.969142",$,(510) 509-7945,"43982 Pacific Commons Blvd, Fremont, CA 94538, USA"
U-Cha,109,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.6966183,-122.0735546",$,(510) 398-8058,"20580 Redwood Rd, Castro Valley, CA 94546, USA"
Tapioca Express,339,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",3.9,"37.5893663,-122.0217887",$,(510) 487-1887,"1707 Decoto Rd, Union City, CA 94587, USA"
Tpumps,156,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5242456,-121.957255",$,(510) 398-8499,"42130 Blacow Rd, Fremont, CA 94538, USA"
Bobafinitea (Pleasanton),25,"['cafe', 'point_of_interest', 'food', 'establishment']",3.9,"37.69841419999999,-121.8741294",$$,(925) 425-7087,"4233 Rosewood Dr #9, Pleasanton, CA 94588, USA"
Quickly,127,"['cafe', 'point_of_interest', 'food', 'establishment']",3.8,"37.6944783,-122.0749499",$,,"20893 Redwood Rd, Castro Valley, CA 94546, USA"
ONCE Tea,22,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.67368889999999,-122.0811655",,(510) 999-7883,"1081 B St, Hayward, CA 94541, USA"
Boba Queen,156,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4,"37.5756293,-122.0396799",$,(510) 713-2828,"34420 Fremont Blvd, Fremont, CA 94555, USA"
Tea So,52,"['cafe', 'bakery', 'point_of_interest', 'store', 'food', 'establishment']",4.6,"37.6960959,-122.0785289",,(510) 314-0303,"20669 Santa Maria Ave, Castro Valley, CA 94546, USA"
TEAZENTEA,0,"['cafe', 'point_of_interest', 'food', 'establishment']",0,"37.7099958,-121.9265188",,(510) 393-4896,"7197 Village Pkwy, Dublin, CA 94568, USA"
Quickly,202,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,"37.6318139,-122.0960344",$,(510) 397-1800,"27316 Hesperian Blvd, Hayward, CA 94545, USA"
Newark,28,"['cafe', 'food', 'point_of_interest', 'establishment']",1.8,"37.5234471,-122.0070469",$,(510) 323-4987,"6062 Mowry Ave, Newark, CA 94560, USA"
Boba Nation - Newark,10,"['cafe', 'point_of_interest', 'food', 'establishment']",4.6,"37.5263723,-122.0018426",,(510) 788-1901,"2086 Newpark Mall # 1036, Newark, CA 94560, USA"
Black & White Coffee and Boba,27,"['cafe', 'food', 'point_of_interest', 'establishment']",4.8,"37.6770202,-121.8753247",,(650) 863-3600,"4299 Valley Ave, Pleasanton, CA 94566, USA"
Tea Heart,82,"['cafe', 'food', 'point_of_interest', 'establishment']",2.9,"37.6983197,-121.8455099",,(925) 292-8139,"2612 Livermore Outlets Dr, Livermore, CA 94551, USA"
Feng Cha Teahouse Dublin,12,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.7067793,-121.9335027",,(925) 248-8865,"7660 Amador Valley Blvd ste F, Dublin, CA 94568, USA"
Teaspoon Hayward,539,"['cafe', 'food', 'point_of_interest', 'establishment']",4.8,"37.64439369999999,-122.1045516",$,(510) 274-5908,"25034 Hesperian Blvd, Hayward, CA 94545, USA"
T4,192,"['cafe', 'food', 'point_of_interest', 'establishment']",3.8,"37.7040395,-121.8512131",$,(925) 560-5631,"3744 Fallon Rd, Dublin, CA 94568, USA"
T4,51,"['cafe', 'food', 'point_of_interest', 'establishment']",3.6,"37.7087207,-122.0914667",$,(510) 200-7575,"18911 Lake Chabot Rd, Castro Valley, CA 94546, USA"
Tapioca Express,21,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.6,"37.5228387,-121.970883",$,(510) 573-2741,"41200 Blacow Rd # G, Fremont, CA 94538, USA"
i-Tea Castro Valley,665,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.6959095,-122.0729139",$,(510) 398-8780,"20666 Redwood Rd, Castro Valley, CA 94546, USA"
Yifang Taiwan Fruit Tea,74,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,"37.5754942,-122.0444842",$$,(510) 500-9009,"34133 Fremont Blvd, Fremont, CA 94555, USA"
Tapioca Express,65,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.45527860000001,-121.9100987",$,(408) 946-7280,"1710 N Milpitas Blvd, Milpitas, CA 95035, USA"
Sunright Tea Studio,54,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.5864248,-122.0200329",,(510) 431-3280,"34563 Alvarado-Niles Rd, Union City, CA 94587, USA"
Sunright Tea Studio - Milpitas,21,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,"37.4549753,-121.9115788",,(408) 618-8515,"1693 N Milpitas Blvd, Milpitas, CA 95035, USA"
Tea Six,87,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,"37.5749383,-122.0386465",$,(510) 791-6489,"34460 Fremont Blvd, Fremont, CA 94555, USA"
Feng Cha Teahouse - Newark,394,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.5486107,-122.0488746",$,(510) 992-2663,"6180 Jarvis Ave ste w, Newark, CA 94560, USA"
Mr. Green Bubble | Oakland,469,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.2,"37.828967,-122.249412",$,(510) 788-4160,"4299 Piedmont Ave # D, Oakland, CA 94611, USA"
Feng Cha Teahouse - Berkeley,178,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.8678615,-122.2577379",$,(510) 647-8606,"2528A Durant Ave, Berkeley, CA 94704, USA"
YOKEE MILK TEA,244,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.8066142,-122.2680882",$,(510) 836-3288,"1728 Franklin St, Oakland, CA 94612, USA"
U Cha,551,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.86792010000001,-122.2661527",$,(510) 848-8028,"2199 Bancroft Way, Berkeley, CA 94720, USA"
Top Up Tea,87,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.77076460000001,-122.2774908",$,(510) 671-2653,"650 Central Ave ste.g, Alameda, CA 94501, USA"
One Zo,105,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.7995507,-122.271758",$,(510) 919-0386,"362 8th St unit a, Oakland, CA 94607, USA"
Gong Cha,168,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.7655073,-122.2419669",$,(510) 263-9665,"1501 Park St, Alameda, CA 94501, USA"
i-Tea Oakland,297,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.8005139,-122.2707728",$,(510) 882-2228,"388 9th St #125a, Oakland, CA 94607, USA"
Yifang Taiwan Fruit Tea,96,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.7563475,-122.2513024",$,(510) 671-6333,"409 S Shore Center, Alameda, CA 94501, USA"
RareTea Oakland,73,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.8464778,-122.2521547",$,(510) 817-4435,"5817 College Ave, Oakland, CA 94618, USA"
One Milk Tea,4,"['cafe', 'food', 'point_of_interest', 'establishment']",3.5,"37.7905101,-122.2206452",,(510) 535-1888,"2691 Fruitvale Ave, Oakland, CA 94601, USA"
Happy Lemon Berkeley,287,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.8709145,-122.268486",$,(510) 984-0074,"2106 Shattuck Ave., Berkeley, CA 94704, USA"
Ding Tea,50,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.7635398,-122.2431849",$,(510) 995-8382,"1342 Park St, Alameda, CA 94501, USA"
Tapioca Express,188,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.3,"37.7240527,-122.1551424",$,(510) 357-3781,"129 W Joaquin Ave, San Leandro, CA 94577, USA"
Sharetea,28,"['cafe', 'food', 'point_of_interest', 'establishment']",3.8,"37.8681454,-122.2592923",$,(341) 333-2494,"2328 Telegraph Ave, Berkeley, CA 94704, USA"
Tea On Piedmont,40,"['cafe', 'food', 'point_of_interest', 'establishment']",4.9,"37.8264535,-122.2520287",,(510) 947-4663,"4098 Piedmont Ave, Oakland, CA 94611, USA"
Happy Lemon,68,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.7657671,-122.242253",$,(510) 263-9028,"2321 Santa Clara Ave, Alameda, CA 94501, USA"
Nomi Tea,95,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.89102,-122.2885002",,(510) 984-0602,"1475 Solano Ave, Albany, CA 94706, USA"
Plentea,61,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.4,"37.8675441,-122.259572",$,(510) 280-5678,"2430 Durant Ave, Berkeley, CA 94704, USA"
Boba Panda,23,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.8749129,-122.2689019",,(510) 973-0786,"1796 Shattuck Ave., Berkeley, CA 94709, USA"
Sharetea - Orinda,28,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.8788453,-122.1814302",$,(925) 386-0319,"41 Moraga Way, Orinda, CA 94563, USA"
Honey.U,22,"['cafe', 'point_of_interest', 'food', 'establishment']",4,"37.7244271,-122.154897",$,(415) 279-9805,"1384 E 14th St, San Leandro, CA 94577, USA"
i-Tea San Leandro,427,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.7227248,-122.1542277",$,(510) 878-7485,"177 Pelton Center Way, San Leandro, CA 94577, USA"
Raretea Alameda,168,"['cafe', 'point_of_interest', 'food', 'establishment']",4.1,"37.7872125,-122.2800164",$,,"2670 5th St Suite C, Alameda, CA 94501, USA"
RareTea Berkeley,233,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.8684568,-122.2603754",$,(415) 813-8296,"2440 Bancroft Way, Berkeley, CA 94704, USA"
iTea Alameda,411,"['cafe', 'point_of_interest', 'food', 'establishment']",4.3,"37.7673752,-122.2400254",$,(510) 263-8789,"1626 Park St, Alameda, CA 94501, USA"
Fanale Drinks,1,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",5,"37.6548853,-122.1420936",,(510) 888-1566,"2606 Barrington Ct, Hayward, CA 94545, USA"
Purple Kow,233,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.8704271,-122.2662767",$,(510) 356-4808,"2164 Center St, Berkeley, CA 94704, USA"
T4,286,"['cafe', 'food', 'point_of_interest', 'establishment']",3.9,"37.7237838,-122.154699",$,(510) 614-1828,"1443 E 14th St B, San Leandro, CA 94577, USA"
Tibear,51,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.873154,-122.2686846",$,(510) 529-4154,"1938 Shattuck Ave., Berkeley, CA 94704, USA"
Taiwan Professional Tea,116,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.8671958,-122.2587405",,(510) 228-4421,"2383 Telegraph Ave, Berkeley, CA 94704, USA"
TZONE Berkeley,7,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,"37.8681569,-122.2592005",$,(510) 999-8798,"2328 Telegraph Ave, Berkeley, CA 94704, USA"
T4 Oakland,419,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,"37.8011133,-122.2700411",$,(510) 251-1068,"1068 Webster St, Oakland, CA 94607, USA"
Sweetheart Café,129,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,"37.8681134,-122.2579227",$,(510) 540-0707,"2523 Durant Ave, Berkeley, CA 94704, USA"
Boba Binge,44,"['cafe', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",4.8,"37.8007494,-122.2702165",,(510) 454-9899,"1004 Webster St, Oakland, CA 94607, USA"
Sweetheart Cafe & Tea,70,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,"37.7994619,-122.270047",$,(510) 835-8136,"315 9th St, Oakland, CA 94607, USA"
One Milk Tea,12,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.8,"37.7983804,-122.2717225",,(510) 541-0813,"349 7th St, Oakland, CA 94607, USA"
Pink Cloud Tea & More,3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",5,"37.8713776,-122.2673284",,(510) 647-9818,"2107 Addison St, Berkeley, CA 94704, USA"
Hay Tea,16,"['cafe', 'food', 'point_of_interest', 'establishment']",3.7,"37.87549509999999,-122.2598101",,,"2505 Hearst Ave, Berkeley, CA 94709, USA"
Te’Amo Boba Tea x Mochi Donut,112,"['cafe', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",4.2,"37.6973329,-122.0743053",,(510) 363-9578,"3646 Village Dr, Castro Valley, CA 94546, USA"
Boba Ninja,135,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.868098,-122.2581362",$,(510) 710-0701,"2519 Durant Ave, Berkeley, CA 94704, USA"
Bober Tea & Coffee,47,"['cafe', 'point_of_interest', 'food', 'establishment']",4.5,"37.8952533,-122.0615058",$,(925) 395-1344,"1153 Locust St, Walnut Creek, CA 94596, USA"
Happy Lemon Premier,0,"['cafe', 'food', 'point_of_interest', 'establishment']",0,"37.6945718,-122.0521452",,,"Castro Valley, CA 94552, USA"
Creative SIPS,4,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",5,"37.6948346,-122.1140376",,,"16395 E 14th St, San Leandro, CA 94578, USA"
Happy Lemon,6,"['cafe', 'food', 'point_of_interest', 'establishment']",5,"37.8276855,-122.2505114",,,"4214 Piedmont Ave, Oakland, CA 94611, USA"
iTea,154,"['cafe', 'point_of_interest', 'food', 'establishment']",4.5,"37.8359954,-122.1265332",$,(925) 376-0842,"1460 Moraga Rd, Moraga, CA 94556, USA"
Smoothie & Wings,7,"['cafe', 'point_of_interest', 'food', 'establishment']",4.6,"37.7122721,-122.1380127",$,(510) 934-5886,"14278 E 14th St Ste E, San Leandro, CA 94578, USA"
Sharetea,51,"['cafe', 'food', 'point_of_interest', 'establishment']",3.8,"37.784039,-122.4073864",$,(415) 227-0288,"865 Market St, San Francisco, CA 94103, USA"
CoCo Fresh Tea & Juice,149,"['cafe', 'point_of_interest', 'food', 'establishment']",4.1,"37.7884663,-122.4028561",,(415) 872-9102,"652 Market St, San Francisco, CA 94104, USA"
Gong Cha,160,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.7865034,-122.409232",$,(415) 654-2055,"272 O'Farrell St, San Francisco, CA 94102, USA"
Sharetea,339,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.7845775,-122.403374",$,(415) 227-0888,"135 4th St, San Francisco, CA 94103, USA"
FrosTea Boba Tea and Shaved Snow Cafe,138,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.7069077,-122.4587015",$,(415) 349-4378,"6178 Mission St, Daly City, CA 94014, USA"
Tea Hut,254,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.3,"37.787904,-122.4407733",$,(415) 962-7437,"2815 California St, San Francisco, CA 94115, USA"
TEAZO,63,"['cafe', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,"37.7431508,-122.4776752",$,(415) 748-7398,"1050 Taraval St, San Francisco, CA 94116, USA"
Milk Tea Lab,38,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.76386249999999,-122.4670802",$,(510) 828-9567,"839 Irving St, San Francisco, CA 94122, USA"
LITTLE SWEET,337,"['meal_takeaway', 'bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.4,"37.7813701,-122.4606779",$,(415) 702-6763,"3836 Geary Blvd, San Francisco, CA 94118, USA"
Bubble Queen,32,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.7773664,-122.3923284",,(415) 529-1528,"219 King St, San Francisco, CA 94107, USA"
My Cup of Tea,223,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.7323821,-122.474348",$,(415) 753-3338,"2666 Ocean Ave, San Francisco, CA 94132, USA"
Royaltea USA,10,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.79374,-122.4048092",$,(415) 658-7749,"605 Kearny St, San Francisco, CA 94108, USA"
Love Tea,82,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.79768990000001,-122.4072319",,(415) 216-8348,"601 Broadway, San Francisco, CA 94133, USA"
Black Sugar - Boba Bar,298,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,"37.78626,-122.410167",$,(415) 521-2022,"320 O'Farrell St, San Francisco, CA 94102, USA"
Tea Hut,55,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.73250960000001,-122.49068",,(415) 609-1453,"1541 Sloat Blvd, San Francisco, CA 94132, USA"
Boba Guys,1431,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.7899791,-122.4072277",$,(415) 967-2622,"429 Stockton St, San Francisco, CA 94108, USA"
Boba Gen,136,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.7806685,-122.4041914",$$,(415) 519-0042,"260 5th St, San Francisco, CA 94103, USA"
茶妍觀色 By me boba tea,238,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.7955889,-122.4073509",,(415) 799-3850,"22 Ross Alley, San Francisco, CA 94108, USA"
BB Tea,95,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.7543075,-122.4778976",$,(415) 681-5888,"1314 Noriega St, San Francisco, CA 94122, USA"
Mr & Mrs Tea House,116,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.2,"37.7831729,-122.4652452",$,(415) 702-6813,"544 Clement St, San Francisco, CA 94118, USA"
Happy Lemon Drumm Street,52,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.7944202,-122.3968184",$,(415) 362-6007,"99 Drumm St, San Francisco, CA 94111, USA"
Tea Plus,90,"['cafe', 'point_of_interest', 'food', 'establishment']",3.8,"37.72971039999999,-122.4043621",$,(415) 766-4452,"2541 San Bruno Ave, San Francisco, CA 94134, USA"
Tea Square,17,"['cafe', 'food', 'point_of_interest', 'establishment']",2.4,"37.8059613,-122.4231943",,(415) 761-1706,"900 North Point St, San Francisco, CA 94109, USA"
i-Tea Kearny,335,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.7905276,-122.4041615",$,(415) 463-7886,"253 Kearny St, San Francisco, CA 94108, USA"
Pit Stop Boba Shop,167,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,"37.6435596,-122.4534525",$,(650) 952-4449,"2300 Westborough Blvd, South San Francisco, CA 94080, USA"
Happy Lemon,94,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.6,"37.77152170000001,-122.3914588",$,(415) 757-0968,"1320 4th St, San Francisco, CA 94158, USA"
Quickly,81,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",3.8,"37.8075761,-122.4189007",$,(415) 481-5090,"2800 Leavenworth St Ste A11, San Francisco, CA 94133, USA"
Aura Tea - Boba Tea and Coffee,93,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.2,"37.79196659999999,-122.3930289",,(408) 717-1881,"121 Spear St Suite B05, San Francisco, CA 94105, USA"
Cool Tea Bar,209,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.7942858,-122.4069486",$,,"103 Waverly Pl, San Francisco, CA 94108, USA"
Yifang Taiwan Fruit Tea,292,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.7951026,-122.4076269",$$,(415) 872-9618,"870 Washington St, San Francisco, CA 94108, USA"
Steep Creamery & Tea,232,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.4,"37.78263,-122.3913351",$,(415) 828-8785,"270 Brannan St, San Francisco, CA 94107, USA"
District Tea,100,"['cafe', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,"37.7625083,-122.4196404",$,(415) 373-7013,"2154 Mission St, San Francisco, CA 94110, USA"
LITTLE SWEET,56,"['cafe', 'point_of_interest', 'food', 'establishment']",4,"37.7865938,-122.4059587",$,(415) 962-7988,"75 O'Farrell St, San Francisco, CA 94108, USA"
SK Tea,19,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.7634626,-122.4823789",$,(415) 702-6237,"2250 Irving St, San Francisco, CA 94122, USA"
Milktopia,14,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.3,"37.74279629999999,-122.4785801",,(415) 742-4912,"1139 Taraval St, San Francisco, CA 94116, USA"
Pink Pink Tea Shoppe,96,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.7841866,-122.4059286",$,,"865 Market Street #FE10, San Francisco, CA 94103, USA"
Xpresso Tea,30,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.7795029,-122.4934872",$,(415) 535-8531,"6901 Geary Blvd, San Francisco, CA 94121, USA"
Cuppa,109,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.3,"37.7343029,-122.4341507",$,(415) 839-5282,"2810 Diamond St, San Francisco, CA 94131, USA"
Plentea,893,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.4,"37.7913914,-122.404346",$,(415) 757-0223,"341 Kearny St, San Francisco, CA 94108, USA"
Tastea Sunnyvale,149,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.2,"37.3665507,-122.0319904",$,(408) 884-6901,"114 E El Camino Real, Sunnyvale, CA 94087, USA"
Ume Tea,296,"['cafe', 'food', 'point_of_interest', 'establishment']",4,"37.33580389999999,-122.0156374",$,(408) 638-7457,"10887 N Wolfe Rd, Cupertino, CA 95014, USA"
Happy Lemon,465,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.382667,-121.9952452",$,(408) 721-7947,"520 Lawrence Expy #301, Sunnyvale, CA 94085, USA"
T4,102,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.3798772,-122.1146116",$,(650) 383-5684,"131 Main St, Los Altos, CA 94022, USA"
Pekoe,40,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.3717231,-122.0460436",$,(408) 962-0164,"939 W El Camino Real STE 117, Sunnyvale, CA 94087, USA"
Boba Guys Los Altos,30,"['cafe', 'point_of_interest', 'food', 'establishment']",4.5,"37.3786262,-122.1182382",$,,"201 1st St, Los Altos, CA 94022, USA"
Starbucks,167,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.5,"37.5447142,-122.2928244",$$,(650) 357-7440,"Jefferson at Bay Meadows, 1391 Saratoga Dr, San Mateo, CA 94403, USA"
Philz Coffee,573,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.5,"37.577907,-122.3485486",$$,(650) 931-2655,"305 Primrose Rd, Burlingame, CA 94010, USA"
Blue Bottle Coffee,142,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.4,"37.5662739,-122.3230554",$$,(510) 653-3394,"201 S B St Suite A, San Mateo, CA 94401, USA"
Starbucks,224,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.2,"37.5198653,-122.275618",$$,(650) 654-5533,"1050 A El Camino Real, Belmont, CA 94002, USA"
Philz Coffee,946,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.5,"37.4866367,-122.2285935",$$,(650) 241-7187,"2116 Broadway, Redwood City, CA 94063, USA"
Blue Bottle Coffee,695,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.5,"37.54055,-122.2976899",$$,(510) 653-3394,"3081 S Delaware St, San Mateo, CA 94403, USA"
Starbucks,497,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.1,"37.5376737,-122.3001834",$$,(650) 345-7907,"Hillsdale Shopping Cente, 157 Hillsdale Mall, San Mateo, CA 94403, USA"
Philz Coffee,1164,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.6,"37.5669754,-122.3237087",$$,(650) 931-1770,"113 S B St, San Mateo, CA 94401, USA"
Starbucks,31,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",3.9,"37.529194,-122.28995",$$,(650) 372-2828,"Mollie Stone Market, 47 42nd Ave, San Mateo, CA 94403, USA"
Starbucks,28,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",3.6,"37.518694,-122.27581",$$,(650) 596-1730,"1100 El Camino Real, Belmont, CA 94002, USA"
Philz Coffee,75,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.5,"37.4543353,-122.18259",$$,(650) 391-9372,"506 Santa Cruz Ave, Menlo Park, CA 94025, USA"
Blue Bottle Coffee,1929,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.5,"37.4476491,-122.1596231",$$,,"456 University Ave, Palo Alto, CA 94301, USA"
Blue Bottle Coffee,176,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.4,"37.4447264,-122.1713224",$$,,"660 Stanford Shopping Center #650B, Palo Alto, CA 94304, USA"
Equator Coffees,63,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.8,"37.589868,-122.3360415",,(650) 203-3467,"312 Airport Blvd., Burlingame, CA 94010, USA"
Philz Coffee,100,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.1,"37.5386554,-122.3020282",$$,(650) 865-8239,"42 Hillsdale Mall, San Mateo, CA 94403, USA"
Coffeebar,696,"['meal_takeaway', 'cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,"37.452,-122.1855",$$,(650) 666-2626,"1149 Chestnut St, Menlo Park, CA 94025, USA"
Brew Coffee and Bakery,62,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",5,"37.4722989,-122.2050504",,(650) 398-5878,"3176 Middlefield Rd, Redwood City, CA 94063, USA"
Coffeebar,254,"['cafe', 'bakery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.6,"37.4868143,-122.2266776",,(650) 779-0466,"2020 Broadway, Redwood City, CA 94063, USA"
Palo Alto Cafe,244,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.4,"37.4340284,-122.1295474",$,(650) 322-8644,"2675 Middlefield Rd A, Palo Alto, CA 94306, USA"
Verve Coffee Roasters,668,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.5,"37.4442155,-122.1630897",$$,(831) 440-3978,"162 University Ave, Palo Alto, CA 94301, USA"
